"table_schema","table_name","column_name","data_type","is_nullable"
"ord","orders","billing_id","text","YES"
"ord","orders","session_id","text","NO"
"pay","bill_ledger","billing_id","text","NO"
"pay","bill_ledger","session_id","text","NO"
"pay","payment_logs","billing_id","text","NO"
"pay","payment_logs","session_id","text","NO"
"pay","payments","billing_id","text","NO"
"pay","payments","payment_id","bigint","NO"
"pay","payments","session_id","text","NO"
"public","bills","billing_id","uuid","YES"
"public","bills","session_id","uuid","YES"
"public","table_session_moves","session_id","uuid","NO"
"public","table_sessions","billing_id","uuid","YES"
"public","table_sessions","session_id","uuid","NO"
